CIN,Change_Type,Field_Changed,Old_Value,New_Value,Date
N00001MH2025PTC00001,New Registration,N/A,N/A,NEW GEN AI SOLUTIONS LTD,2025-10-19
N00002DL2025PLC00002,New Registration,N/A,N/A,QUANTUM LEAP LOGISTICS PLC,2025-10-19
N00003KA2025PTC00003,New Registration,N/A,N/A,BIOVITA HEALTHCARE PRIVATE LIMITED,2025-10-19
U15149GJ2003PTC042265,Field Update,authorizedcapital,3200000.0,4000000.0,2025-10-19
U15149GJ2003PTC042265,Field Update,authorizedcapital,3200000.0,4000000.0,2025-10-19
U17115GJ2000PTC038985,Field Update,companystatus,Active,Strike Off,2025-10-19
U24110MH1999PTC121310,Field Update,authorizedcapital,500000.0,625000.0,2025-10-19
U34102PN1999PTC013611,Field Update,companystatus,Active,Strike Off,2025-10-19
U59141TN2023PTC159202,Field Update,companystatus,Active,Strike Off,2025-10-19
U59141TN2023PTC159202,Field Update,companystatus,Active,Strike Off,2025-10-19
U63030DL2022PTC405524,Field Update,companystatus,Active,Strike Off,2025-10-19
U63030DL2022PTC405524,Field Update,companystatus,Active,Strike Off,2025-10-19
U67120MH1997PLC108010,Field Update,authorizedcapital,50000000.0,62500000.0,2025-10-19
U70100MH2012PTC238696,Field Update,authorizedcapital,30000000.0,37500000.0,2025-10-19
U70100MH2012PTC238696,Field Update,authorizedcapital,30000000.0,37500000.0,2025-10-19
U70109DL2012PTC232485,Field Update,authorizedcapital,100000.0,125000.0,2025-10-19
U70109DL2012PTC232485,Field Update,authorizedcapital,100000.0,125000.0,2025-10-19
U73100TN1998PTC041043,Field Update,authorizedcapital,5000000.0,6250000.0,2025-10-19
U74140DL2015PTC280363,Field Update,authorizedcapital,100000.0,125000.0,2025-10-19
U74140DL2015PTC280363,Field Update,authorizedcapital,100000.0,125000.0,2025-10-19
U74990TN2019PTC127411,Field Update,companystatus,Active,Strike Off,2025-10-19
U74999GJ2018PTC101980,Field Update,authorizedcapital,1000000.0,1250000.0,2025-10-19
U74999MH2017PTC303314,Field Update,authorizedcapital,20000000.0,25000000.0,2025-10-19
U74999MH2017PTC303314,Field Update,authorizedcapital,20000000.0,25000000.0,2025-10-19
U85100PN2013PTC149216,Field Update,authorizedcapital,100000.0,125000.0,2025-10-19
U85100PN2013PTC149216,Field Update,authorizedcapital,100000.0,125000.0,2025-10-19
U93090MH2010PTC209096,Field Update,companystatus,Active,Strike Off,2025-10-19
U93090MH2010PTC209096,Field Update,companystatus,Active,Strike Off,2025-10-19
