CIN,COMPANY_NAME,STATE,STATUS,SOURCE,FIELD,VALUE,SOURCE_URL
N00001MH2025PTC00001,Golla and Sons LLC,Karnataka,Active,Simulated Data,Director Name,Bhavani Chad,N/A
N00001MH2025PTC00001,Walia-Hora PLC,Andhra Pradesh,Active,Simulated Data,Director Name,Nidra Thaman,N/A
U24110MH1999PTC121310,"Arya, Ranganathan and Grover PLC",Bihar,Active,Simulated Data,Director Name,Urishilla Bandi,N/A
U24110MH1999PTC121310,"Chaudhari, Kapur and Mangal PLC",Tripura,Active,Simulated Data,Director Name,Faris Bahl,N/A
U24110MH1999PTC121310,"Singhal, Toor and Garde and Sons",Arunachal Pradesh,Active,Simulated Data,Director Name,Zilmil Dey,N/A
U70109DL2012PTC232485,Choudhary Group Ltd,Tripura,Active,Simulated Data,Director Name,Hemang Dani,N/A
U70109DL2012PTC232485,"Gole, Shan and Balay LLC",Assam,Active,Simulated Data,Director Name,Hemani Bhavsar,N/A
N00002DL2025PLC00002,"Karnik, Palla and Natt PLC",Goa,Active,Simulated Data,Director Name,Raagini Nayak,N/A
N00002DL2025PLC00002,Deo-Natarajan Inc,Tamil Nadu,Active,Simulated Data,Director Name,Patrick Warrior,N/A
N00002DL2025PLC00002,Barman and Sons Group,Uttar Pradesh,Active,Simulated Data,Director Name,Gayathri Shetty,N/A
U63030DL2022PTC405524,"Contractor, Gulati and Deo Group",Assam,Active,Simulated Data,Director Name,Raghav Kothari,N/A
U63030DL2022PTC405524,Batra PLC LLC,Bihar,Active,Simulated Data,Director Name,Saumya Sem,N/A
U63030DL2022PTC405524,"Din, Iyengar and Shanker Inc",Himachal Pradesh,Active,Simulated Data,Director Name,Peter Sahota,N/A
U74999MH2017PTC303314,"Kaul, Purohit and Pal and Sons",Gujarat,Active,Simulated Data,Director Name,Upasna Shenoy,N/A
U74999MH2017PTC303314,Vyas LLC LLC,Uttar Pradesh,Active,Simulated Data,Director Name,Yagnesh Tiwari,N/A
U15149GJ2003PTC042265,Gole LLC Group,Punjab,Active,Simulated Data,Director Name,Aarav Bobal,N/A
U15149GJ2003PTC042265,"Iyer, Deol and Wali Inc",Haryana,Active,Simulated Data,Director Name,Shivani D’Alia,N/A
U74140DL2015PTC280363,"Gandhi, Sami and Naidu Inc",Mizoram,Active,Simulated Data,Director Name,Ekalinga Chahal,N/A
U74140DL2015PTC280363,Butala-Gandhi Inc,Telangana,Active,Simulated Data,Director Name,Yashasvi Tara,N/A
U74999GJ2018PTC101980,Sridhar Group and Sons,Mizoram,Active,Simulated Data,Director Name,Neha Vala,N/A
U74999GJ2018PTC101980,"Malhotra, Venkataraman and Bobal Ltd",Punjab,Active,Simulated Data,Director Name,Ekani Tata,N/A
U74999GJ2018PTC101980,Kari-Rana PLC,Manipur,Active,Simulated Data,Director Name,Neha Bose,N/A
U85100PN2013PTC149216,De PLC PLC,Arunachal Pradesh,Active,Simulated Data,Director Name,Chandresh Varkey,N/A
U85100PN2013PTC149216,Shanker and Sons Inc,Goa,Active,Simulated Data,Director Name,Wishi Balan,N/A
U85100PN2013PTC149216,"Naik, Shetty and Bera Inc",Tripura,Active,Simulated Data,Director Name,Ekansh Sule,N/A
N00003KA2025PTC00003,Ratti-Dani LLC,Telangana,Active,Simulated Data,Director Name,Sathvik Kaur,N/A
N00003KA2025PTC00003,Kapoor and Sons and Sons,Uttar Pradesh,Active,Simulated Data,Director Name,Gautam Lata,N/A
U67120MH1997PLC108010,Jain-Basu and Sons,Rajasthan,Active,Simulated Data,Director Name,Rachit Bhagat,N/A
U67120MH1997PLC108010,Sankar-Chandran PLC,Tripura,Active,Simulated Data,Director Name,Lajita Hegde,N/A
U67120MH1997PLC108010,"Mishra, Reddy and Krishna Inc",Andhra Pradesh,Active,Simulated Data,Director Name,Hitesh Date,N/A
U93090MH2010PTC209096,Zacharia PLC Inc,Jharkhand,Active,Simulated Data,Director Name,Kashvi Bhardwaj,N/A
U93090MH2010PTC209096,Pradhan-Jain LLC,Andhra Pradesh,Active,Simulated Data,Director Name,Gabriel Sant,N/A
U93090MH2010PTC209096,"More, Ratti and Goswami LLC",Jharkhand,Active,Simulated Data,Director Name,Vedant Madan,N/A
U17115GJ2000PTC038985,Balay-Rajan LLC,Chhattisgarh,Active,Simulated Data,Director Name,Jeremiah Sarraf,N/A
U17115GJ2000PTC038985,Kalita Group Group,Karnataka,Active,Simulated Data,Director Name,Krishna Ahuja,N/A
U17115GJ2000PTC038985,Agrawal Inc Inc,Bihar,Active,Simulated Data,Director Name,Charan Mann,N/A
U17115GJ2000PTC038985,"Gala, Thakkar and Shan PLC",West Bengal,Active,Simulated Data,Director Name,Indali Swamy,N/A
U73100TN1998PTC041043,Wadhwa-Bhatnagar PLC,Mizoram,Active,Simulated Data,Director Name,Dalbir Sekhon,N/A
U73100TN1998PTC041043,"Bhatia, Brahmbhatt and Rana Ltd",Nagaland,Active,Simulated Data,Director Name,Krishna Tella,N/A
U73100TN1998PTC041043,Chaudhari-Narasimhan and Sons,Himachal Pradesh,Active,Simulated Data,Director Name,Sathvik Bir,N/A
U73100TN1998PTC041043,Johal LLC LLC,Assam,Active,Simulated Data,Director Name,Quincy Viswanathan,N/A
U59141TN2023PTC159202,Krishnamurthy and Sons Group,Madhya Pradesh,Active,Simulated Data,Director Name,Aarna Nagi,N/A
U59141TN2023PTC159202,"Hayre, Walla and Bhardwaj Ltd",Assam,Active,Simulated Data,Director Name,Jeet Setty,N/A
U59141TN2023PTC159202,Khanna-Hari and Sons,Andhra Pradesh,Active,Simulated Data,Director Name,Udant Raval,N/A
U70100MH2012PTC238696,"Pillay, Chander and Bora LLC",Punjab,Active,Simulated Data,Director Name,Eiravati Balakrishnan,N/A
U70100MH2012PTC238696,"Sethi, Dara and Jani Ltd",Himachal Pradesh,Active,Simulated Data,Director Name,Chakradhar Sarraf,N/A
U70100MH2012PTC238696,Sachdeva-Bera PLC,Mizoram,Active,Simulated Data,Director Name,Amaira Patil,N/A
U70100MH2012PTC238696,Chada-Gola and Sons,Himachal Pradesh,Active,Simulated Data,Director Name,Champak Tandon,N/A
U74990TN2019PTC127411,Dada-Malhotra Inc,Haryana,Active,Simulated Data,Director Name,Keya Srinivasan,N/A
U74990TN2019PTC127411,Narayanan Inc PLC,Chhattisgarh,Active,Simulated Data,Director Name,Fitan Chacko,N/A
U74990TN2019PTC127411,Parmar-Edwin and Sons,Himachal Pradesh,Active,Simulated Data,Director Name,George Bedi,N/A
U74990TN2019PTC127411,Sarin-Talwar Ltd,Jharkhand,Active,Simulated Data,Director Name,Varenya Shankar,N/A
U34102PN1999PTC013611,Bassi-Palla Group,Odisha,Active,Simulated Data,Director Name,Joshua Shan,N/A
U34102PN1999PTC013611,"Sunder, Lall and Venkatesh Ltd",Arunachal Pradesh,Active,Simulated Data,Director Name,Avni Om,N/A
U34102PN1999PTC013611,Srinivas-Mishra LLC,West Bengal,Active,Simulated Data,Director Name,Amaira Arya,N/A
U34102PN1999PTC013611,"Saha, Jha and Sahota Group",Punjab,Active,Simulated Data,Director Name,Arjun Bhatt,N/A
